,Location,Day,month,dayhalf,age,First F,First M,Female count,Male count,Gender,crimetype
125,Kundapur,3.0,11.0,1.0,28.0,1,0,1,0,1,Accident case
127,Byndoor,3.0,11.0,0.0,39.0,1,0,3,1,1,Theft case
128,Sirva,5.0,11.0,0.0,36.0,0,1,2,1,0,Other case
129,Kundapur,3.0,11.0,0.0,39.0,0,0,1,1,2,Accident case
131,Shankaranarayana,6.0,7.0,0.0,65.0,0,0,0,0,2,Other case
132,Hiriyadka,3.0,11.0,0.0,22.0,1,0,4,1,1,Other case
133,Amasebailu,1.0,11.0,0.0,43.0,1,0,2,0,1,Accident case
134,Udupi,2.0,11.0,1.0,39.0,1,0,2,0,1,Accident case
135,Sirva,2.0,11.0,1.0,32.0,1,0,3,0,1,Accident case
136,Byndoor,1.0,11.0,1.0,20.0,1,0,1,2,1,Accident case
137,Kundapur,2.0,11.0,1.0,24.0,1,0,1,0,1,Accident case
140,Udupi,2.0,11.0,1.0,39.0,0,0,0,0,2,Theft case
141,Kota,2.0,11.0,0.0,40.0,0,0,1,2,2,Other case
143,Hiriyadka,1.0,11.0,0.0,25.0,1,0,1,0,1,Other case
144,Karkala,0.0,11.0,1.0,30.0,0,0,0,1,2,Accident case
145,Kota,1.0,11.0,0.0,65.0,1,0,1,0,1,Accident case
146,Udupi,5.0,11.0,1.0,55.0,1,0,2,0,1,Accident case
147,Byndoor,3.0,11.0,0.0,48.0,1,0,2,0,1,Accident case
148,Kundapur,0.0,11.0,0.0,39.0,0,0,0,0,2,Accident case
149,Byndoor,0.0,11.0,0.0,35.0,0,0,0,0,2,Accident case
150,Udupi,0.0,11.0,1.0,26.0,1,0,3,0,1,Accident case
151,Kundapur,0.0,11.0,1.0,42.0,1,0,2,0,1,Accident case
152,Udupi,5.0,11.0,0.0,30.0,1,0,2,0,1,Other case
153,Udupi,3.0,11.0,0.0,30.0,0,0,0,0,2,Theft case
154,Manipal,6.0,11.0,1.0,20.0,0,0,2,1,2,Accident case
155,Udupi,6.0,11.0,1.0,53.0,1,0,1,1,1,Accident case
156,Byndoor,6.0,11.0,0.0,43.0,1,0,1,0,1,Accident case
159,Kundapur,5.0,11.0,1.0,52.0,1,0,2,1,1,Other case
160,Udupi,0.0,11.0,0.0,39.0,0,0,0,4,2,Other case
161,Kundapur,5.0,11.0,1.0,37.0,0,0,0,0,2,Jugari case
162,Sirva,5.0,11.0,1.0,30.0,0,0,1,4,2,Jugari case
163,Hebri,5.0,11.0,0.0,32.0,0,0,1,1,2,Other case
